salary,sales,mktval,profits
1161,6200,23200,966
600,283,1100,48
379,169,1100,40
651,1100,1000,-54
497,351,387,28
1067,19000,3900,614
945,536,623,24
1261,4800,2100,191
503,610,454,7
1094,2900,3900,230
601,1200,533,34
355,560,477,8
1200,796,678,35
697,8200,5700,234
1041,4300,1400,91
245,135,558,24
817,1300,847,55
1675,674,1200,115
971,1400,609,69
609,1100,880,69
470,2300,2200,210
867,884,1500,81
752,1600,3200,193
246,78,458,13
825,10700,5900,295
358,99,2300,25
1162,3800,1800,226
270,150,713,28
829,2200,1500,184
300,6900,4700,483
1627,8300,9100,596
1237,4600,6200,108
540,5200,5600,549
1798,24300,12500,338
474,2700,2000,117
1336,4500,4300,562
541,1400,1200,82
129,59,412,28
1700,6800,20400,1200
1750,16200,17900,1400
624,1100,934,109
791,2300,487,-60
1487,22200,2800,182
2021,51300,42900,2700
1550,1100,4900,120
401,571,670,57
1295,10700,16400,1300
449,661,538,37
456,381,6700,34
1142,28000,26300,1900
577,3000,5700,287
600,11700,4000,-40
649,336,475,17
822,896,752,77
1080,388,1600,55
1738,10700,15400,842
581,408,403,23
912,2600,2400,239
650,261,817,40
2199,5600,6300,475
609,567,498,34
1946,7800,8000,484
552,2800,3500,308
481,611,667,90
526,2400,2000,106
471,160,425,7
630,1700,420,-55
622,2500,1200,143
999,159,398,21
585,1700,449,33
1107,2200,1100,149
1099,8600,1800,182
425,36,644,11
2792,534,888,35
350,1000,812,46
363,717,880,80
2265,18000,18800,1700
377,238,1200,57
879,1700,4900,212
720,672,1400,23
950,2600,1500,6
1143,1800,918,56
1064,3500,2600,195
1253,2600,3700,142
462,1400,769,50
174,29,390,6
474,2200,2600,175
1248,3500,7300,423
1101,954,1200,96
348,586,1400,79
650,5700,817,-438
875,5300,2200,308
1600,12300,9400,877
1500,7900,4800,665
323,637,517,63
459,785,1400,40
925,3300,2200,67
375,599,501,20
447,143,527,16
1340,1400,2900,131
1749,8100,10000,40
491,561,521,54
5299,2400,1500,119
431,815,550,36
729,2000,2600,182
1284,12300,19600,1300
1373,14300,23600,1600
989,439,582,30
515,1100,889,51
1301,1800,1600,130
834,4400,890,63
849,538,473,36
100,2700,10100,394
679,4900,1400,-463
567,597,1700,65
559,2100,686,13
704,50,903,8
308,210,1900,39
1392,4800,1100,51
389,478,420,38
790,1200,3200,140
396,513,963,53
398,633,1800,69
707,130,1200,26
984,1500,1700,135
410,501,590,34
1095,27600,17100,1400
694,4200,1000,75
834,7600,5300,364
1630,227,822,27
493,1300,834,80
625,1400,979,87
483,1000,548,35
733,347,778,18
2102,10300,45400,1700
853,818,411,33
345,994,781,56
800,1800,479,32
764,1100,2100,145
806,3000,3900,257
310,2400,1300,60
1119,2500,1200,71
1287,4700,2700,222
1170,1900,5600,208
880,5300,4000,229
1091,181,1300,36
1100,563,544,-271
650,1482,557,40
607,231,599,38
1133,870,686,37
393,285,956,40
605,422,505,30
1444,6204,10700,401
1033,5400,7300,478
1142,2600,2200,166
537,1200,669,17
693,1400,3000,206
439,2600,3800,280
358,584,423,45
1276,635,1300,52
873,149,567,21
537,11400,4800,210
713,1600,1300,55
1350,3300,2100,92
1268,1100,2500,47
465,2400,2400,326
693,2200,533,44
369,65,1200,-132
381,2700,4500,386
467,513,534,49
559,605,653,56
218,504,421,41
264,334,480,43
185,766,560,49
387,432,477,28
2220,277,540,-80
445,249,828,31
