date,axis,baroda,hdfc,icici,state
2002-08-12,36.45,51.5,208.8,135,232.2
2002-08-13,36.45,53,210,135,230
2002-08-14,36.45,43.85,210.1,134.6,229.2
2002-08-16,35.9,51.85,209.2,132.5,232
2002-08-19,36.5,42.9,210.5,134.05,231
2002-08-20,36.45,51.85,212,137.95,231
2002-08-21,36.25,51.25,210,135,231.25
2002-08-22,35.8,51,210,135,231
2002-08-23,35.7,51.4,207.25,134,232
2002-08-26,35.9,51.35,211.3,140.9,232.45
2002-08-27,37.9,51.7,210.5,140.7,233.25
2002-08-28,36.4,51.8,209,138.85,231.95
2002-08-29,36.6,51.1,209.25,139.25,231.6
2002-08-30,35.95,51.75,209.75,141,233
2002-09-02,36.5,52.55,210.9,144,243.2
2002-09-03,36.35,52,210.8,141.1,238.45
2002-09-04,35.05,53.45,210.15,138.2,234.6
2002-09-05,36.45,52.05,212,140.9,235.05
2002-09-06,37,50.5,212,140.25,235.75
2002-09-09,36.8,48.9,210,143.4,234
2002-09-11,36.45,49.75,210,142.85,233.7
2002-09-12,36,48.9,212,145.1,232.6
2002-09-13,36,48,210.75,131.5,237
2002-09-16,35.2,49,212.8,143.9,234
2002-09-17,35.45,47.7,214.2,141.6,232
2002-09-18,35.9,47.1,221.05,142.9,231.7
2002-09-19,35.75,46.6,224.7,144,229.5
2002-09-20,35,46,220,140,229
2002-09-23,36.2,47,220,140.05,226.15
2002-09-24,36,52,218.65,135.5,231.25
2002-09-25,35.4,44.5,216.95,139,231
2002-09-26,35.15,44.85,210,137.5,232.2
2002-09-27,35.5,44.8,209,135,230
2002-09-30,36,44.5,217,138,230.1
2002-10-01,36.85,44.5,216.1,139.25,230.25
2002-10-03,37.45,44.75,213,144.5,230.5
2002-10-04,36.95,44.45,209.55,142,230
2002-10-07,37.45,45,209.5,144,230
2002-10-08,36.95,44.5,208.15,143,230.9
2002-10-09,36.2,45.9,209,139.9,232.75
2002-10-10,36,45.95,208.5,137.5,231.25
2002-10-11,36.05,45.6,208,137.5,230.8
2002-10-14,36.5,45.7,207,138.6,232.25
2002-10-16,37,46.2,208.95,140.5,231.65
2002-10-17,36.25,45.7,205,138.2,230.25
2002-10-18,38,46,202.75,136.95,232
2002-10-21,37,46.5,200,132,231
2002-10-22,37.45,46.2,201,133.8,233
2002-10-23,40,46.1,198.8,128.5,231.5
2002-10-24,37.3,46,194.75,131,233
2002-10-25,38.35,45.7,193,125,230.9
2002-10-28,37,46,192.8,127.75,230.5
2002-10-29,36.95,46,193,131.05,233
2002-10-30,36.8,46,193.05,135.9,235
2002-10-31,38,45.9,189.55,134,232.4
2002-11-01,35.85,50,189,135,231
2002-11-04,36.05,45.95,192,133.8,241
2002-11-05,37,46.2,192.95,130.5,243.55
2002-11-07,38,46.25,195.05,130.6,243.9
2002-11-08,37,46,195.5,125.8,241
2002-11-11,38,45.1,194.8,121.4,237.45
2002-11-12,37.5,45.75,197.4,121.1,233.25
2002-11-13,37.45,46.5,190,117.05,238
2002-11-14,37.45,46,193.05,111.5,236
2002-11-15,35.55,46.25,192.6,120,234.1
2002-11-18,40,47.1,192.3,120,236.9
2002-11-20,38,48.55,194,122,240
2002-11-21,37.95,48.4,194.1,121.1,242.9
2002-11-22,37.45,48.05,195,125,243.15
2002-11-25,37.7,50.4,195.95,130,249.8
2002-11-26,38.9,53,197.4,138,251.55
2002-11-27,39.7,53.6,196,136,252.5
2002-11-28,39,56.9,196.5,137.5,255
2002-12-02,38.95,56,195.9,132,265
2002-12-03,40,57,195.2,134.9,265
2002-12-04,39.9,56,193.4,132,259
2002-12-05,39.3,56,196.8,130.5,257
2002-12-06,40,57,200,135.45,260.15
2002-12-09,35.7,60,190.25,135.9,277.4
2002-12-10,38.6,62.1,195.1,134,269
2002-12-11,39.1,62.8,190.25,135.45,273
2002-12-12,45,69,190,139,281.3
2002-12-13,45.5,70,197,143,278.5
2002-12-16,48,71.85,205,152,280.45
2002-12-17,44.8,67.55,211,145.65,279
2002-12-18,45,71.45,216,145.45,290
2002-12-19,45.9,69.75,215,142,288.7
2002-12-20,44.65,67.5,218.75,141,279
2002-12-23,45.95,68.9,220.75,142,279.5
2002-12-24,44,70,219.3,142,279.95
2002-12-26,44.5,72.45,219.5,142.9,284
2002-12-27,44.45,77,217.3,141,283
2002-12-30,41.1,73.95,217.3,143.9,285.5
2002-12-31,44.4,73,213.1,141.5,283
2003-01-01,44.8,76.75,219.9,141.45,289.95
2003-01-02,44.45,75,217,141,285
2003-01-03,42.75,75.5,215.55,139.9,294
2003-01-06,42.45,70.8,215.4,137.9,286
2003-01-07,42,68.85,215,134.7,279.25
2003-01-08,42.4,72.25,216.35,133.9,280
2003-01-09,42.7,74,214,133.35,268
2003-01-10,45,78.5,212.05,135.5,287.5
2003-01-13,44.5,79,215.75,140.95,288.05
2003-01-14,44.9,79.95,218.45,142,283.1
2003-01-15,44.5,77.95,219.4,139,282.55
2003-01-16,45.45,78.5,219.9,142.8,286
2003-01-17,47.25,78.35,220,144.3,289
