gender,country,sat
male,AR,57
male,AR,40
male,AR,46
male,AR,42
male,AR,38
male,AR,72
male,AR,45
male,AR,47
male,AR,52
male,AR,40
male,AR,49
male,AR,32
male,AR,39
male,AR,16
male,AR,36
male,AR,47
female,AR,14
male,AR,47
male,AR,56
male,AR,52
male,AR,56
male,AR,60
male,AR,39
male,AR,47
male,AR,46
male,AR,38
male,AR,51
male,AR,48
female,AR,52
male,AR,46
male,AR,27
male,AR,50
male,AR,43
male,AR,38
male,AR,35
male,AR,50
male,AR,30
male,AR,60
male,AR,33
male,AR,44
male,AR,48
male,AR,28
male,AR,45
male,AR,54
male,AR,50
male,AR,17
male,AR,31
female,AR,30
male,AR,41
male,AR,36
female,AR,20
male,AR,70
male,AR,42
male,AR,55
male,AR,58
male,AR,32
male,AR,30
male,AR,46
male,AR,25
male,AR,42
male,AR,45
male,AR,56
male,AR,58
male,AR,48
male,AR,51
male,AR,49
male,CH,57
male,CH,61
male,CH,58
male,CH,56
male,CH,60
male,CH,47
male,CH,48
male,CH,56
male,CH,46
male,CH,61
male,CH,64
male,CH,32
male,CH,58
female,CH,65
male,CH,23
male,CH,47
female,CH,48
male,CH,48
male,CH,55
male,CH,39
male,CH,57
male,CH,39
male,CH,60
male,CH,43
male,CH,35
female,CH,37
male,CH,50
male,CH,47
female,CH,27
female,CH,59
female,CH,28
male,CH,58
male,CH,48
female,CH,57
male,CH,37
male,CH,58
male,CH,49
male,CH,47
male,CH,60
male,CH,50
male,CH,58
male,CH,26
male,CH,38
male,CH,52
male,CH,33
male,CH,39
male,CH,46
male,CH,39
male,CH,53
male,CH,43
male,CH,38
female,CH,30
male,CH,59
male,CH,56
male,CH,44
male,CH,67
female,CH,57
male,CH,58
male,CH,67
male,CH,44
male,CH,59
female,CH,36
male,CH,58
female,CH,53
male,CH,55
female,CH,50
male,CH,23
male,CH,53
male,CH,60
male,CH,39
male,CH,59
male,CH,47
male,CH,54
male,CH,47
male,CH,49
male,CH,61
male,CH,46
male,CH,41
male,CH,43
male,CH,68
male,CH,57
female,CH,64
male,CH,58
male,CH,43
male,CH,52
male,CH,53
male,CH,41
male,CH,48
male,CH,29
female,CH,56
male,CH,53
male,CH,53
female,CH,44
female,CH,52
male,CH,46
male,CH,52
male,CH,29
female,CH,40
female,CH,50
male,CH,37
male,CH,57
male,CH,42
male,CH,56
female,CH,35
male,CH,59
male,CH,58
male,CH,63
male,CH,61
male,CH,61
male,CH,62
male,CH,58
female,CH,53
male,CH,66
male,CH,55
male,CH,67
male,CH,56
male,CH,58
male,CH,64
male,CH,64
female,CH,29
male,CH,33
male,UR,57
female,UR,45
male,UR,64
male,UR,49
male,UR,50
male,UR,59
male,UR,62
male,UR,36
male,UR,44
male,UR,48
male,UR,62
male,UR,33
male,UR,34
male,UR,45
male,UR,44
male,UR,50
male,UR,50
male,UR,50
male,UR,62
male,UR,33
male,PE,50
male,PE,49
male,PE,58
male,PE,68
male,PE,57
male,PE,46
male,PE,56
female,PE,51
male,PE,58
male,PE,54
male,PE,60
male,PE,72
male,PE,66
male,PE,56
male,PE,30
male,PE,62
male,PE,56
male,PE,54
male,PE,59
male,PE,64
male,PE,55
male,PE,60
male,PE,51
female,PE,45
male,PE,58
female,PE,58
male,PE,54
male,PE,37
male,PE,54
male,PE,54
male,PE,58
female,PE,55
male,PE,53
male,PE,58
female,PE,48
female,PE,56
male,PE,57
male,PE,68
male,PE,55
male,PE,45
female,PE,55
male,PE,60
male,PE,36
male,PE,41
male,PE,60
male,PE,44
female,PE,50
female,PE,59
male,PE,46
male,PE,33
female,PE,57
male,PE,46
male,PE,41
female,PE,61
male,PE,55
female,PE,59
male,PE,37
male,PE,47
male,PE,63
male,PE,40
female,PE,66
male,PE,38
male,PE,59
female,PE,57
male,PE,57
female,PE,57
male,PE,40
male,PE,33
female,PE,33
male,EC,54
male,EC,50
female,EC,62
female,EC,37
female,EC,13
female,EC,58
male,EC,63
male,EC,59
male,EC,36
male,EC,54
male,EC,55
male,EC,57
male,EC,42
female,EC,44
male,EC,40
female,EC,42
male,EC,26
male,EC,63
female,EC,29
male,EC,46
male,EC,52
male,EC,54
female,EC,59
female,EC,66
female,EC,66
female,EC,62
male,EC,26
male,EC,49
male,EC,61
male,EC,55
female,EC,64
female,EC,60
female,EC,44
male,EC,69
male,EC,60
female,EC,62
male,EC,37
female,EC,39
female,EC,28
female,EC,54
male,EC,51
male,EC,68
male,EC,62
female,EC,56
male,EC,66
female,EC,64
female,EC,69
male,EC,54
male,EC,56
male,EC,59
male,EC,58
male,EC,56
male,EC,47
male,EC,57
female,EC,38
female,EC,28
male,EC,35
male,EC,36
female,EC,34
female,EC,33
male,EC,42
female,EC,27
male,EC,54
male,EC,19
male,EC,34
male,EC,39
male,EC,24
female,EC,42
female,EC,23
male,EC,44
male,EC,49
male,EC,30
male,EC,45
male,EC,58
male,EC,65
male,EC,59
male,EC,52
male,EC,37
male,EC,69
male,EC,51
male,EC,54
male,EC,45
male,EC,63
male,EC,36
male,EC,48
female,EC,39
female,EC,28
male,EC,19
male,EC,27
male,EC,54
male,CO,58
female,CO,55
male,CO,35
male,CO,60
male,CO,69
male,CO,50
male,CO,58
female,CO,56
male,CO,42
male,CO,55
male,CO,60
female,CO,46
male,CO,45
male,CO,59
female,CO,60
male,CO,49
male,CO,55
male,CO,36
female,CO,49
male,CO,36
male,CO,61
female,CO,43
male,CO,54
male,CO,40
male,CO,28
male,CO,37
male,CO,18
male,CO,26
female,CO,58
male,CO,60
male,CO,35
female,CO,44
male,CO,60
male,CO,59
male,CO,53
male,CO,63
male,CO,56
male,CO,45
male,CO,53
male,CO,38
male,CO,32
male,CO,55
male,CO,50
male,CO,58
female,CO,64
female,CO,56
male,CO,31
female,CO,44
female,CO,56
male,CO,56
male,CO,44
male,CO,43
male,CO,59
female,CO,56
female,CO,25
male,CO,55
female,CO,65
male,CO,54
female,CO,58
female,CO,68
male,CO,56
male,CO,61
male,CO,60
female,CO,31
male,CO,55
male,CO,54
male,CO,57
male,CO,59
male,CO,62
male,CO,50
female,CO,51
male,CO,37
male,CO,57
female,CO,59
male,CO,59
female,CO,50
male,CO,52
female,CO,49
female,CO,72
male,CO,57
male,CO,56
female,CO,54
male,CO,44
female,CO,49
male,CO,57
male,CO,39
male,CO,60
male,CO,65
female,CO,57
male,CO,58
female,CO,67
male,CO,52
female,CO,29
male,CO,40
female,CO,56
