"firm","roe","roa"
"3Com Corporation",21.1000003814697,1.12999999523163
"AGL Resources Inc.",10.8000001907349,7.13399982452393
"ALLTEL Corporation",45.9000015258789,13.8970003128052
"ALZA Corporation",32.2999992370605,9.17599964141846
"AMR Corporation",11.8999996185303,5.26800012588501
"Abbott Laboratories",37.5,21.3439998626709
"Adaptec, Inc.",21.6000003814697,18.0349998474121
"Adobe Systems Incorporated",56.2000007629395,38.7299995422363
"Advanced Micro Devices, Inc.",49.7000007629395,15.4090003967285
"Air Products & Chemicals, Inc.",4.19999980926514,10.0649995803833
"Alaska Air Group, Inc.",-7.59999990463257,0.12899999320507
"Alberto-Culver Company",18.1000003814697,11.8170003890991
"Albertson's, Inc.",13.3999996185303,11.4010000228882
"Allergan, Inc.",33.9000015258789,15.3330001831055
"Allstate Corporation (The)",14.5,3.18199992179871
"Ameren Corporation",14.8000001907349,10.6099996566772
"American Electric Power Company, Inc.",5.30000019073486,4.08599996566772
"American Express Company",27.7999992370605,2.53099989891052
"American General Corporation",13.1999998092651,2.4210000038147
"American Greetings Corporation",6.69999980926514,8.94099998474121
"American International Group, Inc.",16.8999996185303,2.81200003623962
"American Power Conversion",18.3999996185303,19.5410003662109
"American Water Works, Inc.",9.60000038146973,7.70800018310547
"Amgen Inc.",37.7000007629395,28.6889991760254
"Anadarko Petroleum Corporation",59.7000007629395,8.55300045013428
"Analog Devices, Inc.",37.5999984741211,17.3889999389648
"Andrew Corporation",16.5,15.6770000457764
"Angelica Corporation",4,5.625
"Anheuser-Busch Companies, Inc.",39.5999984741211,19.0659999847412
"Aon Corporation",14.8999996185303,4.57999992370605
"Apache Corporation",29.3999996185303,18.3959999084473
"Apogee Enterprises, Inc.",9.30000019073486,4.03599977493286
"Apple Computer, Inc.",26.6000003814697,9.11400032043457
"Applied Materials, Inc.",47.5999984741211,26.42799949646
"Archer-Daniels-Midland Company",4.80000019073486,4.14799976348877
"Ault Incorporated",7.90000009536743,4.48999977111816
"AutoZone, Inc.",20.2000007629395,15.5839996337891
"Autodesk, Inc.",15.5,17.5779991149902
"Automatic Data Processing, Inc.",21,7.9229998588562
"Avery Dennison Corporation",35,17.8169994354248
"Avnet, Inc.",10.3999996185303,7.30200004577637
"BB&T Corporation",19.6000003814697,1.71000003814697
"Baker Hughes Inc.",3.29999995231628,7.19999980926514
"Baldor Electric Company",17.3999996185303,16.3500003814697
"Ball Corporation",10,10.7740001678467
"Bank of New York Company, Inc. (The)",27.7999992370605,3.01999998092651
"Banta Corporation",16.6000003814697,13.4340000152588
"Bard (C.R.), Inc.",18.6000003814697,17.8390007019043
"Bassett Furniture Industries",3.90000009536743,2.09899997711182
"Bausch & Lomb Incorporated",6.80000019073486,7.51200008392334
"Baxter International, Inc.",22.1000003814697,14.5200004577637
"Bear Stearns Companies, Inc. (The)",19.1000003814697,0.684000015258789
"Becton Dickinson and Company",22.3999996185303,12.706000328064
"BellSouth Corporation",28.5,14.2700004577637
"Bemis Company, Inc.",18,12.9709997177124
"Bergen Brunswig Corporation",-50.2999992370605,6.23299980163574
"Bethlehem Steel Corporation",-21.8999996185303,-2.13100004196167
"Biomet, Inc.",22.3999996185303,22.6000003814697
"Black & Decker Corporation",35.2000007629395,12.7709999084473
"Block (H&R), Inc.",23.7000007629395,10.0299997329712
"Bob Evans Farms, Inc.",11.3000001907349,13.9280004501343
"Boeing Company",18.6000003814697,8.38000011444092
"Boston Scientific Corporation",21.6000003814697,19.3560009002686
"Brady (W.H.) Co.",18.2000007629395,18.8959999084473
"Briggs & Stratton Corporation",37.2999992370605,22.0620002746582
"Bristol-Myers Squibb Company",54.5,34.0540008544922
"Brown-Forman Corporation",23.7999992370605,19.3120002746582
"Brunswick Corporation",-7.40000009536743,13.3140001296997
"Burlington Northern Santa Fe Corp.",12,8.73799991607666
"Burlington Resources, Inc.",20.7999992370605,15.8669996261597
"CIGNA Corporation",16.5,1.70500004291534
"CLARCOR Inc.",19.1000003814697,15.1389999389648
"CPI Corp.",13.5,14.8509998321533
"CSX Corporation",9.80000019073486,3.92899990081787
"CVS Corporation",20,16.3969993591309
"Cabot Corporation",66.9000015258789,8.98600006103516
"Calgon Carbon Corporation",5.40000009536743,5.57999992370605
"Campbell Soup Company",303.799987792969,24.3649997711182
"Capital One Financial Corporation",31,4.01000022888184
"Caraustar Industries, Inc.",2.90000009536743,6.2810001373291
"Cardinal Health, Inc.",19.6000003814697,12.2720003128052
